City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
485,tomakivka,47.8157,34.7414,271.96,82,9,4.53,UA,1674523860
486,wainwright,52.839,-110.8572,274.26,77,100,10.17,CA,1674523861
487,prince rupert,54.3161,-130.3201,280.98,86,75,6.69,CA,1674523862
488,mana,5.6592,-53.7767,297.45,85,13,5.21,GF,1674523862
489,florence,43.7667,11.25,279.13,92,40,0.51,IT,1674523639
490,srednekolymsk,67.45,153.6833,242.43,91,100,1.76,RU,1674523628
491,orlovskiy,46.8714,42.0592,271.01,74,4,6.36,RU,1674523864
492,olonets,60.9847,32.9698,268.83,94,100,3.96,RU,1674523864
493,jackson,42.4165,-122.8345,280.08,67,0,2.06,US,1674523620
494,broome,42.2506,-75.833,272.94,84,100,5.66,US,1674523865
495,katsuura,35.1333,140.3,281.16,86,100,4.02,JP,1674523370
496,mwingi,-0.9344,38.0601,290.43,83,100,0.76,KE,1674523865
497,yahotyn,50.2798,31.7625,270.94,76,1,3.12,UA,1674523866
498,pasir gudang,1.4584,103.8805,298.84,96,100,2.57,MY,1674523867
499,bubaque,11.2833,-15.8333,296.33,78,6,6.65,GW,1674523868
500,salamiyah,35.0113,37.0532,281.71,75,0,0.45,SY,1674523869
501,takhtamygda,54.1,123.5667,247.49,81,100,1.56,RU,1674523869
502,faya,18.3851,42.4509,283.44,82,0,0.3,SA,1674523870
503,pacific grove,36.6177,-121.9166,287.27,62,0,2.57,US,1674523871
504,garissa,-0.4536,39.6401,297.33,77,100,1.29,KE,1674523871
505,rio gallegos,-51.6226,-69.2181,288.18,31,75,6.69,AR,1674523872
506,seoul,37.5683,126.9778,258.81,36,0,8.75,KR,1674523752
507,perth,-31.9333,115.8333,302.96,45,0,3.6,AU,1674523405
508,carutapera,-1.195,-46.02,296.9,93,100,3.06,BR,1674523873
509,luanda,-8.8368,13.2343,300.15,83,40,2.06,AO,1674523874
510,karratha,-20.7377,116.8463,303.45,60,100,6.27,AU,1674523875
511,tezu,27.9167,96.1667,291.21,31,100,0.5,IN,1674523875
512,pauini,-7.7136,-66.9764,295.31,98,100,0.68,BR,1674523655
513,robertsganj,24.7,83.0667,289.37,58,0,2.36,IN,1674523876
514,azul,-36.777,-59.8585,293.77,44,0,3.13,AR,1674523852
515,tiarei,-17.5333,-149.3333,297.16,81,100,5.05,PF,1674523877
516,vanimo,-2.6741,141.3028,297.77,91,100,1.65,PG,1674523575
517,zhaotong,27.3167,103.7167,271.23,68,94,1.3,CN,1674523878
518,tautira,-17.7333,-149.15,298.21,84,100,4.64,PF,1674523878
519,rawson,-43.3002,-65.1023,299.3,34,0,8.19,AR,1674523875
520,sobolevo,54.4299,31.8996,271.98,93,76,0.54,RU,1674523624
521,terskaya,43.7238,44.7244,274.27,86,92,2.15,RU,1674523880
522,misratah,32.3754,15.0925,287.05,68,4,3.83,LY,1674523880
523,buala,-8.145,159.5921,298.48,90,100,1.18,SB,1674523881
524,phalodi,27.1333,72.3667,283.19,41,0,4.92,IN,1674523881
525,henties bay,-22.116,14.2845,291.75,87,100,3.09,NA,1674523623
526,kirakira,-10.4544,161.9205,298.71,91,100,2.87,SB,1674523882
527,mossoro,-5.1875,-37.3442,297.97,82,53,3.01,BR,1674523882
528,kinsale,51.7075,-8.5306,280.8,100,75,0.51,IE,1674523882
529,nabire,-3.3667,135.4833,301.69,69,100,0.36,ID,1674523883
530,chokwe,-24.5333,32.9833,295.4,97,100,1.97,MZ,1674523883
531,gushikawa,26.3544,127.8686,289.15,74,100,10.29,JP,1674523884
532,baft,29.234,56.6057,270.16,62,3,2.07,IR,1674523885
533,goundi,9.3627,17.366,296.3,21,18,1.44,TD,1674523885
534,kushikino,31.7167,130.2667,277.85,85,100,13.28,JP,1674523886
535,kumluca,36.3703,30.2869,287.11,53,0,2.29,TR,1674523887
536,le port,-20.9373,55.2919,296.15,85,100,4.35,RE,1674523888
537,tokat,40.4167,36.5833,272.1,88,28,1.21,TR,1674523888
538,lodja,-3.4833,23.4333,293.89,91,100,0.96,CD,1674523889
539,bure,10.7,37.0667,287.16,45,67,2.06,ET,1674523889
540,sukumo,32.9333,132.7333,276.75,91,96,9.23,JP,1674523890
541,popondetta,-8.7537,148.2534,305.86,52,100,2.32,PG,1674523890
542,platonovka,52.7106,41.952,263.59,85,45,2.38,RU,1674523891
543,santarem,-2.4431,-54.7083,299.22,94,75,4.63,BR,1674523600
544,sao felix do xingu,-6.6447,-51.995,294.93,98,100,0.25,BR,1674523891
545,hurghada,27.2574,33.8129,289.17,55,0,3.6,EG,1674523892
546,kuusankoski,60.907,26.6244,271.71,99,100,4.63,FI,1674523892
547,brownsville,25.9018,-97.4975,293.2,77,75,5.14,US,1674523690
548,mariental,-24.6333,17.9667,298.87,34,87,5.67,NA,1674523746
549,hami,42.8,93.45,260.0,38,0,0.71,CN,1674523893
550,rodney,42.5668,-81.6831,272.31,82,61,7.35,CA,1674523893
551,nha trang,12.25,109.1833,300.15,84,100,3.82,VN,1674523730
